,Y
2013-01-01,2141.496089112427
2013-01-02,1550.680934089047
2013-01-03,2682.21709591031
2013-01-04,1262.8619974628243
2013-01-05,704.4329356806362
2013-01-06,2371.407503836145
2013-01-07,2478.0836122429237
2013-01-08,2217.3219239002083
2013-01-09,1613.5212359253715
2013-01-10,1748.8949656312245
2013-01-11,1988.2919642286938
2013-01-12,2235.563126059691
2013-01-13,5100.9365539584305
2013-01-14,4679.68686837383
2013-01-15,5915.298329750774
2013-01-16,4422.349432673062
2013-01-17,3724.382554336414
2013-01-18,5407.949927578811
2013-01-19,5654.332388723095
2013-01-20,5425.546136036365
2013-01-21,5005.776086898142
2013-01-22,5200.901916172719
2013-01-23,5460.211238739971
2013-01-24,5778.916293760693
2013-01-25,8830.623706191713
2013-01-26,8244.170820327992
2013-01-27,9454.188425727876
2013-01-28,7869.73479447663
2013-01-29,7045.633979862245
2013-01-30,8535.36725524948
2013-01-31,8749.763766187309
2013-02-01,8577.274999167676
2013-02-02,7978.972386448291
2013-02-03,8217.96466896834
2013-02-04,8469.90991045023
2013-02-05,8815.975272750173
2013-02-06,11809.62248965592
2013-02-07,11149.916443294747
2013-02-08,12397.012635872485
2013-02-09,10785.155312270737
2013-02-10,10043.648703929293
2013-02-11,11552.545780385504
2013-02-12,11857.653282335674
2013-02-13,11638.92914851546
2013-02-14,11251.608589981559
2013-02-15,11599.618013076517
2013-02-16,11792.40991778484
2013-02-17,12156.18009884102
2013-02-18,15036.025486079667
2013-02-19,14354.165606417684
2013-02-20,15560.66823241903
2013-02-21,13909.181984057588
2013-02-22,13220.780189102352
2013-02-23,14597.599952584778
2013-02-24,14720.253494691226
2013-02-25,14398.625309008943
2013-02-26,13887.197217088364
2013-02-27,14221.903187292188
2013-02-28,14420.898957860602
2013-03-01,14801.8914122078
2013-03-02,17575.261060075027
2013-03-03,16818.678370417056
2013-03-04,18015.442521188208
2013-03-05,16382.201376754074
2013-03-06,15972.713723645591
2013-03-07,17431.056414713443
2013-03-08,17661.916354737845
2013-03-09,17476.36581921685
2013-03-10,17065.911683173497
2013-03-11,17352.012190258836
2013-03-12,17409.056692135386
2013-03-13,17820.437801471235
2013-03-14,20700.340352533378
2013-03-15,19956.503191168616
2013-03-16,21162.484361213443
2013-03-17,19582.179065962348
2013-03-18,19124.634504808426
2013-03-19,20538.23359863512
2013-03-20,20580.88752315235
2013-03-21,20194.307921859727
2013-03-22,19753.53899432816
2013-03-23,20088.440933881026
2013-03-24,20207.11685210113
2013-03-25,20699.257009686116
2013-03-26,23728.573307067545
2013-03-27,23143.69533933564
2013-03-28,24493.80531977797
2013-03-29,23198.920354090078
2013-03-30,22993.829339443986
2013-03-31,24332.853191203154
2013-04-01,24305.28467044517
2013-04-02,23862.014646491618
2013-04-03,23441.058409832483
2013-04-04,23797.020176452963
2013-04-05,24013.961514855506
2013-04-06,24644.53703621317
2013-04-07,27692.457746779037
2013-04-08,27123.082273164455
2013-04-09,28501.3139946751
2013-04-10,27224.291618447995
