,0
0,0.14999
1,0.19898010101010102
2,0.24797020202020204
3,0.296960303030303
4,0.345950404040404
5,0.39494050505050504
6,0.443930606060606
7,0.49292070707070706
8,0.541910808080808
9,0.590900909090909
10,0.63989101010101
11,0.688881111111111
12,0.7378712121212121
13,0.7868613131313131
14,0.8358514141414142
15,0.884841515151515
16,0.933831616161616
17,0.9828217171717171
18,1.031811818181818
19,1.0808019191919191
20,1.1297920202020202
21,1.1787821212121212
22,1.2277722222222223
23,1.276762323232323
24,1.3257524242424241
25,1.3747425252525252
26,1.4237326262626262
27,1.4727227272727272
28,1.5217128282828283
29,1.570702929292929
30,1.6196930303030301
31,1.6686831313131312
32,1.7176732323232322
33,1.7666633333333333
34,1.8156534343434343
35,1.8646435353535353
36,1.9136336363636361
37,1.9626237373737372
38,2.011613838383838
39,2.060603939393939
40,2.10959404040404
41,2.158584141414141
42,2.207574242424242
43,2.256564343434343
44,2.3055544444444442
45,2.354544545454545
46,2.403534646464646
47,2.452524747474747
48,2.501514848484848
49,2.550504949494949
50,2.59949505050505
51,2.648485151515151
52,2.697475252525252
53,2.746465353535353
54,2.795455454545454
55,2.8444455555555552
56,2.8934356565656563
57,2.9424257575757573
58,2.991415858585858
59,3.040405959595959
60,3.08939606060606
61,3.138386161616161
62,3.187376262626262
63,3.236366363636363
64,3.285356464646464
65,3.334346565656565
66,3.383336666666666
67,3.4323267676767673
68,3.4813168686868683
69,3.5303069696969693
70,3.5792970707070704
71,3.628287171717171
72,3.677277272727272
73,3.726267373737373
74,3.775257474747474
75,3.824247575757575
76,3.873237676767676
77,3.922227777777777
78,3.9712178787878782
79,4.02020797979798
80,4.06919808080808
81,4.118188181818182
82,4.167178282828282
83,4.216168383838383
84,4.2651584848484845
85,4.314148585858585
86,4.3631386868686866
87,4.412128787878787
88,4.461118888888889
89,4.510108989898989
90,4.55909909090909
91,4.608089191919191
92,4.657079292929292
93,4.706069393939393
94,4.755059494949494
95,4.8040495959595955
96,4.853039696969696
97,4.9020297979797975
98,4.951019898989898
99,5.00001
