,0
0,0.007832723474975854
1,0.007832723474975854
2,0.007832723474975854
3,0.007832723474975854
4,0.007832723474975854
5,0.007832723474975854
6,0.007832723474975854
7,0.007832723474975854
8,0.007832723474975854
9,0.007832723474975854
10,0.007832723474975854
11,0.007832723474975854
12,0.007832723474975854
13,0.007832723474975854
14,0.007832723474975854
15,0.007832723474975854
16,0.007832723474975854
17,0.007832723474975854
18,0.007832723474975854
19,-0.049368914632848364
20,-0.03401566270438877
21,-0.01992426372012227
22,-0.07114745176928527
23,-0.04478819742232473
24,-0.03961903877257895
25,-0.04104341962014534
26,-0.017562074197695014
27,0.03247110648282308
28,0.048038408622236885
29,0.06655442573577999
30,0.07599518174081116
31,0.003898583238338407
32,-0.0003173330814759152
33,0.001110328642019903
34,-0.022595344482879115
35,-0.002094566976611258
36,-0.010825050032776883
37,-0.02384872518028904
38,0.012716287603201338
39,0.011219620113144488
40,-0.0017061672616979517
41,0.0008853474988934092
42,0.02905179483944255
43,0.011038774063469042
44,0.04628171007216773
45,0.04378650176457702
46,0.016178774823990424
47,0.01950354927057221
48,0.014499972040886207
49,0.05164085471262784
50,0.07204090237239599
51,0.029544975574281287
52,0.014391835434180485
53,0.028819491216588923
54,0.04568381851253249
55,0.006464522078628959
56,0.0066302056280359645
57,0.0031361355635482614
58,0.014349939238568449
59,0.016169102755545978
60,-0.00012097145004231105
61,-0.0126743226065201
62,0.002081896648600635
63,-0.024217645328633162
64,-0.016440909376822105
65,-0.031233057734849586
66,-0.024006032108934927
67,-0.005416242630885109
68,0.014850455461097775
69,0.027803791386024547
70,0.03596623551137905
71,-0.02031074509419263
72,-0.024344492002333133
73,-0.019265640234233355
74,-0.04212346783108349
75,-0.03606425604860256
76,-0.04742147031792362
77,-0.03550348372533215
78,-0.06005218310155192
79,-0.05395161075260533
80,-0.021527311582186306
81,-0.07513787042372028
82,-0.08010093254947105
83,-0.12273836276283445
84,-0.1310518763386079
85,-0.14259382300564927
86,-0.14954469122447533
87,-0.10339015720292376
88,-0.10424305626061772
89,-0.0763014968870049
90,-0.06791012289455176
91,-0.16872594973760718
92,-0.15533881192560273
93,-0.17182023251778572
94,-0.1466685438738517
95,-0.15510349750178434
96,-0.12435739310823746
97,-0.1377271861124554
98,-0.10227865068136141
99,-0.08622835804005884
100,-0.01803146893304231
101,-0.03606177606177603
102,-0.06851130163678888
103,-0.05011201509255993
104,-0.044923807639026245
105,-0.0846107903643241
106,-0.1235107705884712
107,-0.1373106445193518
