symbol,return_2018,return_2019
AAPL,-0.053901851703416215,0.8895781134816192
MSFT,0.20795288655398747,0.575580898382476
AMZN,0.2843168343310971,0.23027756991021753
FB,-0.2571121455299499,0.5657182566395071
GOOGL,-0.008012210753471583,0.28176204351240197
GOOG,-0.010311581376645673,0.2910458950432
JNJ,-0.05131458655435195,0.1622004279467526
PG,0.03569840735925167,0.39700532924958365
V,0.16487584097099317,0.4332700786492909
NVDA,-0.3081524452176002,0.7694303028809795
MA,0.2531289672735413,0.5915801177097679
HD,-0.07295495428681442,0.3055980925725188
UNH,0.14523939984044243,0.20003060801675532
JPM,-0.0662379207195618,0.4725703251808624
VZ,0.11256699895466982,0.138334835422661
ADBE,0.29102943702837725,0.4577881484753328
NFLX,0.3943529601975897,0.20888441367579125
PYPL,0.14221668803789655,0.28635988994457806
CRM,0.3398219405314895,0.1874132862129423
DIS,0.036078176936076956,0.33513502550622
INTC,0.04226528962079512,0.3071196445560844
CMCSA,-0.12710809404995338,0.3404258112675842
MRK,0.3995387781266355,0.22271417650899794
T,-0.22252027044884348,0.4554526077505774
PFE,0.24818921072754052,-0.06907931568005798
WMT,-0.03431963642022329,0.30162982988997866
PEP,-0.04812869739448733,0.2737592478854731
ABT,0.29061840157668994,0.22080191230662516
KO,0.0677349567809824,0.205994381809812
BAC,-0.14996580261317294,0.46190232375985096
TMO,0.1821010243647958,0.45549949440099113
CSCO,0.16571591379419748,0.13812616436722602
MCD,0.057791156941471744,0.13971481824764798
COST,0.10599289372817733,0.4570070732396938
NKE,0.19868166031626266,0.3809407391953077
ABBV,-0.009564821574767346,0.02964462225289166
AMGN,0.15233077730686584,0.2760107172841646
AVGO,0.021831569139864948,0.29051648625902216
ACN,-0.06228694635921339,0.512136067513224
XOM,-0.15093320054524406,0.07232874596536032
NEE,0.14303708170498908,0.426858787395318
MDT,0.15184817842302523,0.2733823490993659
DHR,0.11804507903633787,0.49553802275720304
QCOM,-0.07588788842525884,0.6076410150902376
BMY,-0.1289570142273374,0.27738108154363594
TXN,-0.071694994114559707,0.3956345447737608
UNP,0.052621438575482404,0.3369986990542677
CVX,-0.0974741924248419,0.1527366194011459
LOW,0.012167674589507183,0.32234366851187835
LIN,0.03011648171701342,0.3904191351676747
UPS,-0.15476010716987898,0.2423636041879491
PM,-0.3329610141421472,0.35021297497376525
ORCL,-0.029695701366787897,0.1934327739551034
HON,-0.08207294941170329,0.3669510594472625
LLY,0.40451648915408644,0.1613995548081386
IBM,-0.22557999016497376,0.23576076689919723
AMT,0.13323302728917752,0.47866101484361434
SBUX,0.1473607843776441,0.39085262598911963
AMD,0.7957197470817121,1.4842905462779274
WFC,-0.2182920124789316,0.21441154216173453
CHTR,-0.1517739950171626,0.7022142165764318
NOW,0.36551886161146463,0.5856220288858967
LMT,-0.16345898059739272,0.5254663521629754
MMM,-0.16899136349686505,-0.042908036284804774
FIS,0.10319997729382857,0.3718805355010708
C,-0.2848627895864453,0.5782040651471692
BA,0.1150165479351064,0.033382314168923566
SPGI,0.013737377068729684,0.6226676075466115
RTX,-0.1465736958848547,0.44244531125862996
INTU,0.25858378262890946,0.34113504104470205
ISRG,0.31232534218049346,0.2343397810773884
MDLZ,-0.04268257738974712,0.40423861003466444
BLK,-0.21600639421428225,0.3186536381419043
CAT,-0.1755810566707119,0.19513606800447936
TGT,0.04670527840199079,1.0017279861806792
GILD,-0.09919877126563892,0.07880628818944158
ZTS,0.1944732625212302,0.5570895559516325
CVS,-0.0703629454241701,0.17260117980148548
PLD,-0.06248402344763693,0.5586566675312941
MO,-0.27142255435609863,0.07870042079772666
BKNG,-0.008816017406608756,0.19235141692301405
VRTX,0.10576542035389402,0.3212840972241344
